1、“八一”六十载　　猜一个字	答案是：亲
235、厂里相思，村中幽会　　猜一个字	答案是：橱
236、厂里增加出口　　猜一个字	答案是：呖
237、厂名变动　　猜一个字	答案是：矽
238、厂前流水厂后山　　猜一个字	答案是：疝
239、厂前种点草，厂里要植林　　猜一个字	答案是：麻
240、厂设宁波曲水间　　猜一个字	答案是：痛
241、厂要出头，必须双增双节　　猜一个字	答案是：崖
242、厂要出头全凭干　　猜一个字	答案是：岸
243、厂要上去须努力　　猜一个字	答案是：历
244、厂长点子好，建厂自有方　　猜一个字	答案是：矿
245、厂长点子好，建厂自有方　　猜一个字	答案是：矿
246、厂字挂心里　　猜一个字	答案是：捱
247、朝觐　　猜一个字	答案是：现
248、车八进一　　猜一个字	答案是：轨
249、车旁站着喜旺嫂　　猜一个字	答案是：辍
250、车座前头已换人　　猜一个字	答案是：输
251、扯皮当制止　　猜一个字	答案是：披
252、尘埃小半上瑶台　　猜一个字	答案是：珐
253、尘土不沾水月圆　　猜一个字	答案是：消
254、尘土飞扬　　猜一个字	答案是：小
255、尘土飞扬　　猜一个字	答案是：小
256、沉默不语　　猜一个字	答案是：哈
257、晨浴　　猜一个字	答案是：渣
258、成本一定要下降　　猜一个字	答案是：未
259、成方圆　　猜一个字	答案是：员
260、成功地有方须盖草　　猜一个字	答案是：十
261、诚　　猜一个字	答案是：慎
262、吃尽苦头　　猜一个字	答案是：古
263、吃苦在前　　猜一个字	答案是：若
264、吃苦在前心犹安　　猜一个字	答案是：惹
265、吃了面包就不饿　　猜一个字	答案是：饱
266、吃在农村　　猜一个字	答案是：飨
267、痴　　猜一个字	答案是：保
268、池边桃花招蝶舞　　猜一个字	答案是：滦
269、池边田头雁阵落　　猜一个字	答案是：淄
270、池边叶影动寒蟾　　猜一个字	答案是：湖
271、池边月上柳梢头　　猜一个字	答案是：潸
272、池边枝头显春色　　猜一个字	答案是：淋
273、池边枝头引蝶来　　猜一个字	答案是：滦
274、池头定有右军来　　猜一个字	答案是：浑
275、赤子之心　　猜一个字	答案是：一
276、赤字　　猜一个字	答案是：钦
277、冲出包围圈　　猜一个字	答案是：韦
278、充耳不闻　　猜一个字	答案是：龙
279、丑　　猜一个字	答案是：牮
280、丑而壮　　猜一个字	答案是：犟
281、出兵前后巧安排　　猜一个字	答案是：岳
282、出差整半年　　猜一个字	答案是：胶
283、出厂有风紧着衣　　猜一个字	答案是：褫
284、出港之前　　猜一个字	答案是：汕
285、出工出力出全勤　　猜一个字	答案是：革
286、出闺房巧遇一千金　　猜一个字	答案是：娃
287、出尽风头犯错误　　猜一个字	答案是：爻
288、出口服装　　猜一个字	答案是：哀
289、出口合同变动　　猜一个字	答案是：咽
290、出口千言　　猜一个字	答案是：话
291、出口丝绳　　猜一个字	答案是：电
292、出口纵横皆成章　　猜一个字	答案是：故
293、出力就高兴　　猜一个字	答案是：嘉
294、出门就打　　猜一个字	答案是：阀
295、出门唯闻犬吠声　　猜一个字	答案是：润
296、出门闻关关，唯觉声孤单　　猜一个字	答案是：联
297、出勤不出力，只说不兑现　　猜一个字	答案是：谨
298、出师之前重安排　　猜一个字	答案是：岿
299、出头更虚心　　猜一个字	答案是：吏
300、出一半有何不可　　猜一个字	答案是：仙
301、除夕来日蛤逢春　　猜一个字	答案是：麦
302、除夕迎来一九九五　　猜一个字	答案是：萝
303、雏　　猜一个字	答案是：鹦
304、楚兵　　猜一个字	答案是：翠
305、处处草香暮春时　　猜一个字	答案是：日
306、处处都有好姑娘　　猜一个字	答案是：女
307、处方唯有半纸传　　猜一个字	答案是：绺
308、川里茶花发　　猜一个字	答案是：葩
309、川流不息　　猜一个字	答案是：泳
310、川流入海潮已平　　猜一个字	答案是：洲
311、川水纵横日落时　　猜一个字	答案是：酬
312、川为静春波　　猜一个字	答案是：淀
313、川中飞雁过横山　　猜一个字	答案是：肃
314、窗前月朦胧　　猜一个字	答案是：穹
315、创业开始在此日　　猜一个字	答案是：晋
316、创业始开头　　猜一个字	答案是：亚
317、炊事员　　猜一个字	答案是：饲
318、垂泪到天明　　猜一个字	答案是：漳
319、垂泪对宫娥　　猜一个字	答案是：汝
320、春风吹又生　　猜一个字	答案是：薪
321、春风送马蹄　　猜一个字	答案是：杰
322、春光点点值千金　　猜一个字	答案是：娄
323、春光无日晃思夫　　猜一个字	答案是：一
324、春节放假三天　　猜一个字	答案是：人
325、春来鸟雀恋行云　　猜一个字	答案是：谜
326、春秋配　　猜一个字	答案是：柏
327、春秋配　　猜一个字	答案是：秦
328、春秋战国后　　猜一个字	答案是：臻
329、春天一日游　　猜一个字	答案是：奏
330、春燕檐前穿户来　　猜一个字	答案是：鹇
331、春雨连绵妻独宿　　猜一个字	答案是：一
332、春雨绵绵人去也　　猜一个字	答案是：三
333、春雨如油　　猜一个字	答案是：溃
334、春雨润新苗　　猜一个字	答案是：秦
335、唇齿相依　　猜一个字	答案是：呀
336、此案可排除女性　　猜一个字	答案是：宋
337、此策为离间，何其不胜来　　猜一个字	答案是：籁
338、此地一为偶　　猜一个字	答案是：些
339、此二人格外大方　　猜一个字	答案是：徊
340、此恨绵绵无绝期　　猜一个字	答案是：跌
341、此路不通　　猜一个字	答案是：趾
342、此谜必须隐目格　　猜一个字	答案是：二
343、此谜猜它三十天　　猜一个字	答案是：捐
344、此谜要猜两天一早上　　猜一个字	答案是：亘
345、此木本来一花无　　猜一个字	答案是：林
346、此犬不大却能吠　　猜一个字	答案是：注
347、此人可靠　　猜一个字	答案是：何
348、此人缺乏动力　　猜一个字	答案是：会
349、此人生在少林　　猜一个字	答案是：侍
350、此日登临曙色开　　猜一个字	答案是：一
351、此日巧遇意中人　　猜一个字	答案是：倡
352、此日相逢两倾心　　猜一个字	答案是：昆
353、此日中流自在行　　猜一个字	答案是：咱
354、此生谁吐言　　猜一个字	答案是：雌
355、此心到处悠然　　猜一个字	答案是：攸
356、此心唯有断云知　　猜一个字	答案是：怡
357、此语竟非是　　猜一个字	答案是：汗
358、此中意无人会　　猜一个字	答案是：昙
359、次子　　猜一个字	答案是：元
360、匆匆人去也　　猜一个字	答案是：羽
361、从此后南北一方　　猜一个字	答案是：囵
362、从来绝色知难得　　猜一个字	答案是：纵
363、从来绝色知难得　　猜一个字	答案是：纵
364、从南昌到北京　　猜一个字	答案是：景
365、从上至下 广为团结　　猜一个字	答案是：座
366、从上至下，广为团结　　猜一个字	答案是：座
367、从新布署　　猜一个字	答案是：睹
368、翠竹竞茂　　猜一个字	答案是：静
369、村后墓碑前，少陵泪涟涟　　猜一个字	答案是：礴
370、村中安身　　猜一个字	答案是：榭
371、存心有意见　　猜一个字	答案是：音
372、寸草沐春晖　　猜一个字	答案是：莳
373、寸草沐春晕　　猜一个字	答案是：莳
374、寸草心　　猜一个字	答案是：时
375、寸土不丢保村庄　　猜一个字	答案是：床
376、寸土相连永不离　　猜一个字	答案是：封
377、错过机会　　猜一个字	答案是：枫
378、达开回广西　　猜一个字	答案是：矿
379、打得分明　　猜一个字	答案是：晴
380、打断念头　　猜一个字	答案是：心
381、打虎英雄到江西　　猜一个字	答案是：淞
382、打破常规　　猜一个字	答案是：觉
383、打破固有框框　　猜一个字	答案是：十
384、打破禁锢突破框框　　猜一个字	答案是：针
385、打起黄莺儿　　猜一个字	答案是：躁
386、打起黄莺儿　　猜一个字	答案是：蹄
387、打起黄莺儿　　猜一个字	答案是：蹄
388、打手出界　　猜一个字	答案是：丁
389、打樱桃　　猜一个字	答案是：呈
390、大白于天下　　猜一个字	答案是：昌
391、大部分接受　　猜一个字	答案是：爱
392、大材小用，小材小用，废材不用　　猜一个字	答案是：秦
393、大厂用电多一点　　猜一个字	答案是：庵
394、大厂用电多一点　　猜一个字	答案是：庵
395、大处着手，巧构双杀　　猜一个字	答案是：攀
396、大错特错　　猜一个字	答案是：爽
397、大大方方　　猜一个字	答案是：咽
398、大胆显丑　　猜一个字	答案是：腥
399、大得出奇　　猜一个字	答案是：可
400、大地回春　　猜一个字	答案是：桩
401、大地沐清辉　　猜一个字	答案是：脏
402、大地同春　　猜一个字	答案是：杜
403、大地一片白　　猜一个字	答案是：奢
404、大斗进，小斗出　　猜一个字	答案是：尖
405、大方格　　猜一个字	答案是：咽
406、大概念　　猜一个字	答案是：药
407、大干变了样　　猜一个字	答案是：全
408、大庚岭上暮天低　　猜一个字	答案是：岁
409、大褂不要补　　猜一个字	答案是：奎
410、大旱望云霓　　猜一个字	答案是：濡
411、大河奔流　　猜一个字	答案是：奇
412、大河奔流带残红　　猜一个字	答案是：绮
413、大河奔流近千里　　猜一个字	答案是：骑
414、大河奔流向东来　　猜一个字	答案是：椅
415、大河奔流雁飞斜　　猜一个字	答案是：倚
416、大河边一轮新月　　猜一个字	答案是：活
417、大河没水小河干　　猜一个字	答案是：哥
418、大河没水小河干　　猜一个字	答案是：哥
419、大河上下，顿失滔滔　　猜一个字	答案是：奇
420、大河迂曲，群山环抱　　猜一个字	答案是：甾
421、大加赞誉　　猜一个字	答案是：亏
422、大家搞好团结　　猜一个字	答案是：庐
423、大家长寿　　猜一个字	答案是：筹
424、大家长寿　　猜一个字	答案是：筹
425、大江东去，残阳如血　　猜一个字	答案是：温
426、大江东去一帆扬　　猜一个字	答案是：浊
427、大口多一点　　猜一个字	答案是：吠
428、大框框不能破　　猜一个字	答案是：因
429、大框框不能破　　猜一个字	答案是：因
430、大力能容天下　　猜一个字	答案是：因
431、大连天全　　猜一个字	答案是：一
432、大乱之后要平反　　猜一个字	答案是：金
433、大米转向出口　　猜一个字	答案是：奥
434、大面积推广　　猜一个字	答案是：靥
435、大明生于东　　猜一个字	答案是：杲
436、大明生于东　　猜一个字	答案是：株
437、大闹加小框，不作“回”字猜　　猜一个字	答案是：固
438、大内格外要留心　　猜一个字	答案是：恩
439、大篷车到边防　　猜一个字	答案是：郓
440、大庆油田庆油出　　猜一个字	答案是：奋
441、大人挑小人　　猜一个字	答案是：夹
442、大人走来了　　猜一个字	答案是：子
443、大赦天下　　猜一个字	答案是：一
444、大势已定，无须固执　　猜一个字	答案是：夯
445、大树临波　　猜一个字	答案是：渠
446、大田高禀庆丰年　　猜一个字	答案是：移
447、大同石窟旅游点　　猜一个字	答案是：突
448、大王偏爱玉无瑕　　猜一个字	答案是：琥
449、大王声威震四方　　猜一个字	答案是：噩
450、大西北一日　　猜一个字	答案是：春
451、大小交错　　猜一个字	答案是：灯
452、大小交错　　猜一个字	答案是：灯
453、大小两分开　　猜一个字	答案是：奈
454、大雪压青松　　猜一个字	答案是：柏
455、大压不正之风　　猜一个字	答案是：奁
456、大压不正之风　　猜一个字	答案是：奁
457、大业靠人创　　猜一个字	答案是：亚
458、大有干头　　猜一个字	答案是：天
459、大有可为　　猜一个字	答案是：奇
460、大于、小于、等于　　猜一个字	答案是：互
461、大丈夫不得出头　　猜一个字	答案是：天
462、大丈夫力不从心　　猜一个字	答案是：思
463、大针上面顶小针　　猜一个字	答案是：钎
464、丹心一点到白头　　猜一个字	答案是：舟
465、丹心一点血凝成　　猜一个字	答案是：盘
466、丹心一直图为国　　猜一个字	答案是：匡
467、旦末净丑　　猜一个字	答案是：星
468、当代巾帼　　猜一个字	答案是：妗
469、当合格工人　　猜一个字	答案是：吴
470、当空皓魄映川流　　猜一个字	答案是：淝
471、当前不在一起　　猜一个字	答案是：米
472、当前皇上垂危中　　猜一个字	答案是：原
473、当前唯有江边月　　猜一个字	答案是：消
474、当前一定要安定团结　　猜一个字	答案是：案
475、当上运动员　　猜一个字	答案是：唢
476、当天处方　　猜一个字	答案是：晷
477、当头明月满行舟　　猜一个字	答案是：逍
478、当头明月照前程　　猜一个字	答案是：稍
479、当头月照远帆归　　猜一个字	答案是：蛸
480、当阳道　　猜一个字	答案是：昙
481、党内交人要交心　　猜一个字	答案是：谷
482、党中央与人民一条心　　猜一个字	答案是：恩
483、刀光剑影连千里　　猜一个字	答案是：验
484、刀光剑影林边隐　　猜一个字	答案是：检
485、刀光剑影入篁林　　猜一个字	答案是：签
486、刀下留情　　猜一个字	答案是：忍
487、刀下要留心一点　　猜一个字	答案是：忍
488、岛　　猜一个字	答案是：泵
489、倒数第一　　猜一个字	答案是：由
490、到西郊植树　　猜一个字	答案是：校
491、稻　　猜一个字	答案是：类
492、得人心者得天下　　猜一个字	答案是：怂
493、得胜生还，安排宴会　　猜一个字	答案是：明
494、灯昏酒泼人半醉　　猜一个字	答案是：酊
495、灯笼　　猜一个字	答案是：炮
496、登陆　　猜一个字	答案是：漓
497、瞪着眼睛瞧，个个都 不少　　猜一个字	答案是：目
498、地表　　猜一个字	答案是：坡
499、地震前后变了样　　猜一个字	答案是：垄
500、帝　　猜一个字	答案是：全
501、点滴积累可成金　　猜一个字	答案是：全
502、点滴之变成作为　　猜一个字	答案是：办
503、点点卯　　猜一个字	答案是：卵
504、点点新芽发枝头　　猜一个字	答案是：米
505、点点萤火照江边　　猜一个字	答案是：淡
506、点心　　猜一个字	答案是：口
507、点心能手招进厂　　猜一个字	答案是：拓
508、电大办在河西畔　　猜一个字	答案是：淹
509、电杆高竖在山巅　　猜一个字	答案是：击
510、电视终日看不见　　猜一个字	答案是：礼
511、垫上运动　　猜一个字	答案是：土
512、叠罗汉　　猜一个字	答案是：众
513、丁原兀立，吕布拜倒　　猜一个字	答案是：呵
514、丁字帘前是断桥　　猜一个字	答案是：柠
515、顶牛　　猜一个字	答案是：斛
516、定心丸　　猜一个字	答案是：卞
517、丢开个人得失　　猜一个字	答案是：佚
518、丢人现眼　　猜一个字	答案是：火
519、东北风来冷先围　　猜一个字	答案是：飞
520、东边日出西边雨　　猜一个字	答案是：汨
521、东边日出西边雨　　猜一个字	答案是：汨
522、东部支援西部　　猜一个字	答案是：陪
523、东床只独看　　猜一个字	答案是：胥
524、东方表　　猜一个字	答案是：柏
525、东方方才现双星　　猜一个字	答案是：柬
526、东方红　　猜一个字	答案是：株
527、东方露出鱼肚白　　猜一个字	答案是：课
528、东方曙色上枝头　　猜一个字	答案是：楂
529、东方一男儿　　猜一个字	答案是：柯
530、东风频添相思意　　猜一个字	答案是：彭
531、东风指杨柳，月下正相思　　猜一个字	答案是：膨
532、东海沉落天亦倾　　猜一个字	答案是：活
533、东湖双鸳鸯　　猜一个字	答案是：鹏
534、东家流水入西邻　　猜一个字	答案是：沪
535、东郊田头出孤苗　　猜一个字	答案是：邮
536、东京旦暮伴郎君　　猜一个字	答案是：春
537、东京一游正值十一　　猜一个字	答案是：琼
538、东靠大西洋　　猜一个字	答案是：渠
539、东邻可有佳人在　　猜一个字	答案是：婀
540、东邻墙头梨花开　　猜一个字	答案是：都
541、东林虎影　　猜一个字	答案是：枫
542、东流逝水　　猜一个字	答案是：梳
543、东楼少女天下绝　　猜一个字	答案是：来
544、东南方双方合作　　猜一个字	答案是：燥
545、东南西北锁雾中　　猜一个字	答案是：备
546、东南西北一般春　　猜一个字	答案是：楞
547、东南西北一般春　　猜一个字	答案是：楞
548、东南邹鲁　　猜一个字	答案是：阳
549、东内缕缕添相思　　猜一个字	答案是：彭
550、东施　　猜一个字	答案是：妞
551、东西南北不出头　　猜一个字	答案是：楞
552、东西南北一条心　　猜一个字	答案是：愣
553、东西调防　　猜一个字	答案是：邡
554、东洋兵　　猜一个字	答案是：晖
555、东洋参　　猜一个字	答案是：晶
556、东征西讨　　猜一个字	答案是：证
557、冬至一阳生　　猜一个字	答案是：汨
558、动画剪接　　猜一个字	答案是：男
559、动力增长十点二　　猜一个字	答案是：协
560、动员后勤上前方　　猜一个字	答案是：贺
561、动员起来，团结起来　　猜一个字	答案是：赔
562、都不出头　　猜一个字	答案是：楷
563、都匀　　猜一个字	答案是：筠
564、斗柄回寅几处心　　猜一个字	答案是：滤
565、斗蟋蟀　　猜一个字	答案是：触
566、斗转星移又一载　　猜一个字	答案是：平
567、独户　　猜一个字	答案是：阐
568、独眼龙　　猜一个字	答案是：省
569、端午前后　　猜一个字	答案是：辛
570、短一些再短一些　　猜一个字	答案是：此
571、断断续续　　猜一个字	答案是：继
572、断桥垂露滴梧桐　　猜一个字	答案是：淋
573、断指再接成功　　猜一个字	答案是：掷
574、对边三点偏离圆心　　猜一个字	答案是：赔
575、对艰难皆有先见　　猜一个字	答案是：又
576、对内改革要上去　　猜一个字	答案是：婴
577、对人要虚心　　猜一个字	答案是：伦
578、对手得分　　猜一个字	答案是：掰
579、对照看来有点左　　猜一个字	答案是：式
580、顿号　　猜一个字	答案是：踢
581、多半靠进口　　猜一个字	答案是：名
582、多半用三十六计　　猜一个字	答案是：梦
583、多出一半　　猜一个字	答案是：岁
584、多方合作　　猜一个字	答案是：哆
585、多美的桃花　　猜一个字	答案是：骊
586、多少白土被花盖　　猜一个字	答案是：著
587、多少年后再相逢　　猜一个字	答案是：舛
588、多少心血得一言　　猜一个字	答案是：谧
